titulo,precio,precio_texto,ubicacion,comuna,region,dormitorios,banos,superficie_total,superficie_util,estacionamientos,url,vendedor,fecha_scraping
"Acogedora Casa 120/175m2, Rogelio Ugarte / Victoria, Stgo.",1000000.0,$1.000.000,"Rogelio Ugarte 1435, Santiago, Bogotá - Sierra Bella, Santiago",Bogotá - Sierra Bella,Santiago,3.0,1.0,,120.0,,https://portalinmobiliario.com/MLC-1691123381-acogedora-casa-120175m2-rogelio-ugarte-victoria-stgo-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
"Edificio 4 Pisos En Arriendo, Santiago",125.0,$125,"Paulino Alfonso 357, Santiago, Barrio Lastarria, Santiago",Barrio Lastarria,Santiago,20.0,10.0,,716.0,,https://portalinmobiliario.com/MLC-1702547561-edificio-4-pisos-en-arriendo-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Excelente Terreno Comercial. Alto Tránsito - Inmob. Escocia,90.0,$90,"Avenida Matta 1420, Parque O'Higgins, Santiago",Parque O'Higgins,Santiago,,,1350.0,,,https://portalinmobiliario.com/MLC-3190798440-excelente-terreno-comercial-alto-transito-inmob-escocia-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa En Arriendo En Santiago,380.0,$380,"Moneda Entre Cienfuegos Y Barroso, Barrio Brasil, Santiago",Barrio Brasil,Santiago,44.0,14.0,,1572.0,,https://portalinmobiliario.com/MLC-3141458010-casa-en-arriendo-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa En Arriendo De 5 Dormitorios 5 Baños Piscina,2000000.0,$2.000.000,"Ramón Ángel Jara, Barrio Yungay, Santiago",Barrio Yungay,Santiago,5.0,5.0,,272.0,,https://portalinmobiliario.com/MLC-1685930167-casa-en-arriendo-de-5-dormitorios-5-banos-piscina-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=15&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Arriendo Sede Educacional Cuadras De Santa Ana Y Los Héroes,120.0,$120,"Moneda- Barroso, Barrio Brasil, Santiago",Barrio Brasil,Santiago,13.0,,,842.0,,https://portalinmobiliario.com/MLC-3142963794-arriendo-sede-educacional-cuadras-de-santa-ana-y-los-heroes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Casa En Arriendo En Santiago,385.0,$385,"Barrio Universitario, Barrio Brasil, Santiago",Barrio Brasil,Santiago,,,,1750.0,,https://portalinmobiliario.com/MLC-1713979917-casa-en-arriendo-en-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=17&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Se Arrienda Casa De 380m2 - Comercial- Santiago,2500000.0,$2.500.000,"SE ARRIENDA CASA DE 380M2 - COMERCIAL - SANTIAGO, Barrio República, Santiago",Barrio República,Santiago,6.0,4.0,,380.0,,https://portalinmobiliario.com/MLC-1706971481-se-arrienda-casa-de-380m2-comercial-santiago-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,Fucs,2025-10-10 13:02:57
"Departamento Amoblado 1 Dormitorio, Santa Rosa / Alameda",349999.0,$349.999,"Santa Rosa 48 Departamento 15, Santa Isabel, Santiago",Santa Isabel,Santiago,1.0,1.0,,48.0,,https://portalinmobiliario.com/MLC-3125234910-departamento-amoblado-1-dormitorio-santa-rosa-alameda-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=19&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
Arriendo Casa Zenteno/victoria 4d/2b/2 Estac  (122253),1600000.0,$1.600.000,"Zenteno 1409, Parque O'Higgins, Santiago",Parque O'Higgins,Santiago,4.0,2.0,,140.0,,https://portalinmobiliario.com/MLC-1713742007-arriendo-casa-zentenovictoria-4d2b2-estac-122253-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
"Se Arrienda Casa After School, Barrio Brasil (89206)",50.0,$50,"Ramón Ángel Jara 1, Barrio Yungay, Santiago",Barrio Yungay,Santiago,4.0,4.0,,240.0,,https://portalinmobiliario.com/MLC-3190998362-se-arrienda-casa-after-school-barrio-brasil-89206-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=21&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
1 (108277),18000000.0,$18.000.000,"Londres 1 - 300, Bulnes, Santiago",Bulnes,Santiago,35.0,35.0,,2000.0,,https://portalinmobiliario.com/MLC-3169003754-1-108277-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,,2025-10-10 13:02:57
"Arriendo, Casa, 4 D - 2 B, Santiago, Barrio Brasil",1000000.0,$1.000.000,"Rosas/Baquedano, Barrio Brasil, Santiago",Barrio Brasil,Santiago,4.0,2.0,,145.0,,https://portalinmobiliario.com/MLC-1713148067-arriendo-casa-4-d-2-b-santiago-barrio-brasil-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=11843234-fb40-41b9-afca-8ecd8fa8c277,Fuenzalida Isabel La Católica,2025-10-10 13:02:57
