link,superficie_util,superficie_total,dormitorios,banos
https://portalinmobiliario.com/MLC-1593131615-duplex-con-patio-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=3&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,169 m²,184 m²,3,3
https://portalinmobiliario.com/MLC-2870308200-departamento-con-vista-despejada-en-martin-de-zamora-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=4&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,137 m²,217 m²,4,3
https://portalinmobiliario.com/MLC-1618625917-oportunidad-departamento-de-tres-dormitorios-y-dos-banos-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=5&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,82 m²,85 m²,3,2
https://portalinmobiliario.com/MLC-1593169363-central-y-comodo-departamento-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=6&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,174 m²,189 m²,3,3
https://portalinmobiliario.com/MLC-2994671910-depto-con-vista-despejada-al-oriente-y-estacionamiento-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=7&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,40 m²,40 m²,1,1
https://portalinmobiliario.com/MLC-2953625164-departamento-en-vitacura-oportunidad-de-remodelacion-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=8&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,92 m²,97 m²,3,2
https://portalinmobiliario.com/MLC-1696306629-departamento-en-altura-en-los-acantos-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=9&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,139 m²,149 m²,3,2
https://portalinmobiliario.com/MLC-2992146094-departamento-remodelado-en-barrio-las-nieves-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=10&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,140 m²,167 m²,3,3
https://portalinmobiliario.com/MLC-1651913587-departamento-en-hendaya-barrio-el-golf-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=11&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,140 m²,158 m²,3,2
https://portalinmobiliario.com/MLC-3108053248-departamento-con-vista-despejada-a-pasos-de-la-cepal-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,112 m²,128 m²,2,3
https://portalinmobiliario.com/MLC-1704705837-el-llano-2959-metro-el-llano-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=13&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,79 m²,86 m²,3,2
https://portalinmobiliario.com/MLC-1539421689-espectacular-vista-en-condominio-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=14&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,116 m²,116 m²,4,3
https://portalinmobiliario.com/MLC-1605961289-duplex-en-la-dehesa-central-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=15&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,140 m²,140 m²,5,4
https://portalinmobiliario.com/MLC-1580900857-nuevo-departamento-con-finas-terminaciones-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=16&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,235 m²,312 m²,4,5
https://portalinmobiliario.com/MLC-1630241807-nuevo-departamento-con-finas-terminaciones-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=17&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,231 m²,308 m²,4,5
https://portalinmobiliario.com/MLC-1583487011-vista-despejada-caminable-a-plaza-san-enrique-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=18&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,90 m²,100 m²,3,3
https://portalinmobiliario.com/MLC-1618641047-oportunidad-luminoso-y-acogedor-departamento-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=19&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,103 m²,110 m²,4,3
https://portalinmobiliario.com/MLC-1617360617-departamento-en-venta-de-3-dorm-2-banos-en-lo-barnechea-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=20&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,109 m²,"119,6 m²",3,2
https://portalinmobiliario.com/MLC-2954818754-departamento-en-venta-de-4-dorm-en-lo-barnechea-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=21&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,156 m²,309 m²,4,4
https://portalinmobiliario.com/MLC-2913440282-departamento-en-venta-de-2-dorm-en-lo-barnechea-central-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=22&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,78 m²,84 m²,2,2
https://portalinmobiliario.com/MLC-3059695064-departamento-en-venta-de-5-dorm-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=23&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,213 m²,263 m²,5,4
https://portalinmobiliario.com/MLC-3117934030-departamento-en-venta-de-4-dorm-en-las-condes-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=24&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,126 m²,140 m²,4,4
https://portalinmobiliario.com/MLC-3059772098-moderno-y-elegante-depto-de-3-dorm-en-calle-tranquila-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=25&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,106 m²,128 m²,3,2
https://portalinmobiliario.com/MLC-3141449450-departamento-en-venta-de-3-dorm-en-lo-barnechea-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=26&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,99 m²,117 m²,3,3
https://portalinmobiliario.com/MLC-1686919139-oportunidad-dpto-equipado-bod-pasos-metro-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=27&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,38 m²,41 m²,1,1
https://portalinmobiliario.com/MLC-1674835263-departamento-en-venta-de-2-dorm-en-providencia-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=28&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,70 m²,79 m²,2,2
https://portalinmobiliario.com/MLC-3014735590-depto-remodelado-3d2b-en-san-miguel-con-piscina-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=29&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,65 m²,65 m²,3,2
https://portalinmobiliario.com/MLC-1709386537-maravilloso-dpto-nunoa-2destbd-_JM?has_official_store=false&highlight=false&headerTopBrand=false#polycard_client=search-nordic&search_layout=grid&position=30&type=item&tracking_id=64d07f11-7448-45bc-990b-27f96c5d9afe,50 m²,59 m²,2,2
